q1,q2,cost,valid_flag,dist_proj_to_goal_proj,o4_proj_x,o4_proj_y,o4_proj_z
-1.570000,1.308333,0.735536,1,0.113205,0.392966,0.000000,0.358580
-1.570000,1.325778,0.749660,1,0.117640,0.388659,0.000000,0.359693
-1.570000,1.343222,0.766938,1,0.122069,0.384334,0.000000,0.360731
-1.570000,1.360667,0.787372,1,0.126493,0.379991,0.000000,0.361694
-1.570000,1.378111,0.810959,1,0.130910,0.375632,0.000000,0.362580
-1.570000,1.395556,0.837700,1,0.135319,0.371258,0.000000,0.363390
-1.570000,1.413000,0.867595,1,0.139721,0.366871,0.000000,0.364124
-1.570000,1.430444,0.900643,1,0.144114,0.362471,0.000000,0.364781
-1.570000,1.447889,0.936844,1,0.148498,0.358061,0.000000,0.365362
-1.570000,1.465333,0.976197,1,0.152873,0.353641,0.000000,0.365865
-1.570000,1.482778,1.018703,1,0.157237,0.349213,0.000000,0.366291
-1.570000,1.500222,1.064359,1,0.161591,0.344779,0.000000,0.366640
-1.570000,1.517667,1.113167,1,0.165935,0.340339,0.000000,0.366911
-1.570000,1.535111,1.165126,1,0.170267,0.335895,0.000000,0.367105
-1.570000,1.552556,1.220235,1,0.174587,0.331448,0.000000,0.367222
-1.570000,1.570000,1.278493,1,0.178895,0.327000,0.000000,0.367260
-1.552556,-1.570000,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.552556,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.535111,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.517667,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.500222,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.482778,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.465333,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.447889,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.430444,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.413000,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.395556,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.378111,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.360667,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.343222,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.325778,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.308333,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.290889,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.273444,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.256000,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.238556,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.221111,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.203667,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.186222,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.168778,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.151333,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.133889,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.116444,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.099000,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.081556,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.064111,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.046667,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.029222,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-1.011778,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.994333,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.976889,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.959444,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.942000,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.924556,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.907111,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.889667,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.872222,inf,0,inf,0.000000,0.000000,0.000000
-1.552556,-0.854778,inf,0,inf,0.000000,0.000000,0.000000
