q1,q2,cost,valid_flag,projection_error,dist_proj_to_goal_proj,stage2_pos_error,stage2_pose_error,o4_proj_x,o4_proj_y,o4_proj_z
-1.355250,0.348000,1.193808,1,0.248441,0.248441,0.243945,0.071022,0.356649,0.001151,0.234670
-1.355250,0.391500,1.149644,1,0.241140,0.241140,0.235507,0.068936,0.352203,0.001151,0.241378
-1.355250,0.435000,1.107610,1,0.233741,0.233741,0.227169,0.063450,0.347471,0.001151,0.247886
-1.355250,0.478500,1.067785,1,0.226249,0.226249,0.218959,0.058925,0.342459,0.001151,0.254181
-1.355250,0.522000,1.030245,1,0.218670,0.218670,0.210909,0.055369,0.337179,0.001151,0.260253
-1.355250,0.565500,0.995061,1,0.211009,0.211009,0.203054,0.052792,0.331639,0.001151,0.266090
-1.355250,0.609000,0.962301,1,0.203272,0.203272,0.195433,0.051199,0.325851,0.001151,0.271680
-1.355250,0.652500,0.932030,1,0.195466,0.195466,0.188090,0.048237,0.319825,0.001151,0.277013
-1.355250,0.696000,0.898952,1,0.187597,0.187597,0.179589,0.043576,0.313573,0.001151,0.282079
-1.355250,0.739500,0.867424,1,0.179674,0.179674,0.171032,0.039933,0.307107,0.001151,0.286869
-1.355250,0.783000,0.838757,1,0.171705,0.171705,0.162813,0.037314,0.300438,0.001151,0.291372
-1.355250,0.826500,0.813009,1,0.163700,0.163700,0.155003,0.035726,0.293580,0.001151,0.295582
-1.355250,0.870000,0.790233,1,0.155668,0.155668,0.147681,0.035174,0.286546,0.001151,0.299489
-1.355250,0.913500,0.767866,1,0.147623,0.147623,0.140011,0.031063,0.279348,0.001151,0.303087
-1.355250,0.957000,0.744618,1,0.139578,0.139578,0.131441,0.027546,0.272000,0.001151,0.306368
-1.355250,1.000500,0.724667,1,0.131551,0.131551,0.123480,0.025093,0.264517,0.001151,0.309326
-1.355250,1.044000,0.708055,1,0.123560,0.123560,0.116273,0.023709,0.256912,0.001151,0.311957
-1.355250,1.087500,0.694819,1,0.115632,0.115632,0.109981,0.023399,0.249200,0.001151,0.314254
-1.355250,1.131000,0.679245,1,0.107795,0.107795,0.102005,0.021843,0.241396,0.001151,0.316213
-1.355250,1.174500,0.666161,1,0.100088,0.100088,0.094495,0.018629,0.233513,0.001151,0.317832
-1.355250,1.218000,0.656718,1,0.092559,0.092559,0.088225,0.016511,0.225568,0.001151,0.319106
-1.355250,1.261500,0.650790,1,0.085273,0.085273,0.083397,0.015493,0.217575,0.001151,0.320033
-1.355250,1.305000,0.641554,1,0.078313,0.078313,0.075903,0.015578,0.209549,0.001151,0.320612
-1.355250,1.348500,0.636171,1,0.071788,0.071788,0.070127,0.016256,0.201505,0.001151,0.320841
-1.355250,1.392000,0.634658,1,0.065842,0.065842,0.066530,0.013481,0.193459,0.001151,0.320721
-1.355250,1.435500,0.639172,1,0.060658,0.060658,0.060999,0.011823,0.185426,0.001151,0.320250
-1.355250,1.479000,0.661482,1,0.056458,0.056458,0.056546,0.011284,0.177421,0.001151,0.319431
-1.355250,1.522500,0.703432,1,0.053482,0.053482,0.055138,0.011867,0.169459,0.001151,0.318264
-1.355250,1.566000,0.758318,1,0.051948,0.051948,0.050778,0.013570,0.161555,0.001151,0.316752
-1.355250,1.609500,0.831880,1,0.051987,0.051987,0.048850,0.012269,0.153725,0.001151,0.314898
-1.355250,1.653000,0.923689,1,0.053594,0.053594,0.049203,0.011143,0.145983,0.001151,0.312705
-1.355250,1.696500,1.028798,1,0.056634,0.056634,0.046771,0.011146,0.138343,0.001151,0.310178
-1.355250,1.740000,1.153659,1,0.060887,0.060887,0.048285,0.012277,0.130821,0.001151,0.307321
-1.320500,-1.740000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.696500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.653000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.609500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.566000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.522500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.479000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.435500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.392000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.348500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.305000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.261500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.218000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.174500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.131000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.087500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.044000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-1.000500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.957000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.913500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.870000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.826500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.783000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.739500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.696000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.652500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.609000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.565500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.522000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.478500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.435000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.320500,-0.391500,2.397331,1,0.343357,0.343357,0.373642,0.212825,0.381771,0.001150,0.116741
-1.320500,-0.348000,2.226334,1,0.338265,0.338265,0.365928,0.197578,0.382730,0.001150,0.124730
-1.320500,-0.304500,2.071405,1,0.333018,0.333018,0.358091,0.183116,0.383340,0.001150,0.132754
-1.320500,-0.261000,1.932657,1,0.327617,0.327617,0.350137,0.169450,0.383601,0.001150,0.140797
-1.320500,-0.217500,1.810203,1,0.322066,0.322066,0.342074,0.156590,0.383513,0.001150,0.148843
-1.320500,-0.174000,1.704157,1,0.316367,0.316367,0.333910,0.144546,0.383074,0.001150,0.156878
-1.320500,-0.130500,1.614629,1,0.310524,0.310524,0.325654,0.133330,0.382286,0.001150,0.164886
-1.320500,-0.087000,1.541730,1,0.304539,0.304539,0.317314,0.122951,0.381151,0.001150,0.172852
-1.320500,-0.043500,1.482331,1,0.298416,0.298416,0.308899,0.113420,0.379670,0.001150,0.180762
-1.320500,0.000000,1.425142,1,0.292158,0.292158,0.300421,0.104747,0.377847,0.001150,0.188600
-1.320500,0.043500,1.369276,1,0.285769,0.285769,0.291891,0.096941,0.375685,0.001150,0.196350
-1.320500,0.087000,1.314836,1,0.279251,0.279251,0.283320,0.090013,0.373188,0.001150,0.204000
-1.320500,0.130500,1.261922,1,0.272608,0.272608,0.274722,0.083970,0.370360,0.001150,0.211534
-1.320500,0.174000,1.210632,1,0.265845,0.265845,0.266111,0.078823,0.367208,0.001150,0.218937
-1.320500,0.217500,1.161061,1,0.258964,0.258964,0.257503,0.074581,0.363736,0.001151,0.226197
-1.320500,0.261000,1.113301,1,0.251970,0.251970,0.248916,0.071251,0.359953,0.001151,0.233299
-1.320500,0.304500,1.067441,1,0.244867,0.244867,0.240368,0.068842,0.355863,0.001151,0.240229
-1.320500,0.348000,1.023566,1,0.237660,0.237660,0.231882,0.067362,0.351477,0.001151,0.246975
-1.320500,0.391500,0.981759,1,0.230352,0.230352,0.223481,0.062222,0.346801,0.001151,0.253524
-1.320500,0.435000,0.942100,1,0.222948,0.222948,0.215192,0.057584,0.341845,0.001151,0.259864
-1.320500,0.478500,0.904662,1,0.215454,0.215454,0.207045,0.053909,0.336618,0.001151,0.265982
-1.320500,0.522000,0.869518,1,0.207873,0.207873,0.199074,0.051205,0.331129,0.001151,0.271866
